,공고명,회사명,직무,마감일,고용 형태,근무지,학력,기술 스택,링크
426,안드로이드 개발자 (주니어),코빗(Korbit),안드로이드 개발자,,,서울 강남구 테헤란로 5길 KG타워 4층,,"['Java', 'Kotlin', 'Scala', 'AWS', 'Spring Boot', 'Kubernetes']",https://www.wanted.co.kr///wd/158801
427,앱 개발(ANDROID  개발) - 신입,뉴링크,안드로이드 개발자,,,서울 학동로31길 12 벤쳐캐슬 5층,,"['Android', 'Java', 'Kotlin', 'MVC', 'MVVM', 'Gradle']",https://www.wanted.co.kr///wd/88315
428,안드로이드 개발자,누아,안드로이드 개발자,,,"서울 서울특별시 종로구 청계천로 85, 10층",,"['MXNET', 'Pytorch', 'Tensorflow']",https://www.wanted.co.kr///wd/118969
429,안드로이드 앱 개발자,이지샵,안드로이드 개발자,,,서울 서울시 중구 세종대로 39 대한상공회의소 13층,,"['Git', 'Android', 'Java', 'Kotlin', 'AWS', 'Jenkins', '운영 관리', '암호화', 'Oracle Database', 'Redmine']",https://www.wanted.co.kr///wd/128768
430,안드로이드 앱개발자,이매지니어스,안드로이드 개발자,,,서울 서울특별시 성동구 뚝섬로13길 38 상상플래닛,,"['iOS', 'Swift']",https://www.wanted.co.kr///wd/141806
431,iOS 모바일 앱개발자,이매지니어스,"안드로이드 개발자, iOS 개발자, 그래픽스 엔지니어",,,서울 서울특별시 성동구 뚝섬로13길 38 상상플래닛,,"['iOS', 'Swift']",https://www.wanted.co.kr///wd/141731
432,소프트웨어개발자(신입가능),큐램,"안드로이드 개발자, 머신러닝 엔지니어, 영상,음성 엔지니어",,,"경기 경기도 용인시 기흥구 흥덕1로 13, 타워동 2206호",,"['Github', 'Android', 'iOS', 'Linux', 'OpenGL', 'C / C++', 'JavaScript', 'Python', 'C++', 'OpenCV']",https://www.wanted.co.kr///wd/78237
433,Computer Vision Fundamental Research Engineer,휴톰,"파이썬 개발자, 머신러닝 엔지니어",2023-06-30,,서울 서울특별시 마포구 독막로 279 상장회사회관 6층,,"['Git', 'React', 'Node.js']",https://www.wanted.co.kr///wd/119623
434,최적화 알고리즘 개발자,마키나락스,파이썬 개발자,,,"서울 서울특별시 서초구 강남대로 343 , 12층",,"['JavaScript', 'Python', 'QA 엔지니어링']",https://www.wanted.co.kr///wd/149371
435,Medical AI Research Engineer(Junior),웨이센(waycenInc.),"파이썬 개발자, 머신러닝 엔지니어",2023-05-31,,서울 강남구 영동대로75길9 수암빌딩 4층,,[],https://www.wanted.co.kr///wd/62696
436,[전문연구요원] 컴퓨터비전 엔지니어,로민,"파이썬 개발자, 머신러닝 엔지니어, 데이터 사이언티스트",,,"서울 서울 서초구 방배천로2길 10, 7층",,"['Github', 'Linux', 'Python', 'Docker', 'RHEL', 'Ubuntu']",https://www.wanted.co.kr///wd/121587
437,[전문연구요원] 자연어처리 엔지니어,로민,"파이썬 개발자, 머신러닝 엔지니어, 데이터 사이언티스트",,,"서울 서울 서초구 방배천로2길 10, 7층",,"['Github', 'Linux', 'Python', 'Docker', 'RHEL', 'Ubuntu']",https://www.wanted.co.kr///wd/121585
438,인공지능 NLP 개발자,포자랩스,"파이썬 개발자, 머신러닝 엔지니어",,,"서울 서울 강남구 테헤란로 78길 16, 노벨빌딩 10층 포자랩스",,[],https://www.wanted.co.kr///wd/71968
439,백엔드 개발자,오지스,"파이썬 개발자, Node.js 개발자, 블록체인 플랫폼 엔지니어",,,"서울 서울특별시 영등포구 여의도동 여의대로 108, 파크원",,[],https://www.wanted.co.kr///wd/131165
440,Research Scientist,에스아이에이,"파이썬 개발자, 머신러닝 엔지니어, 영상,음성 엔지니어",,,대전 대전광역시 유성구 유성대로 1689번길 70,,[],https://www.wanted.co.kr///wd/154847
441,AI Engineer (Field Engineer),에이엠스퀘어,"파이썬 개발자, 머신러닝 엔지니어, 데이터 사이언티스트",,,경북 경상북도 포항시 남구 청암로,,"['Git', 'Slack', 'Linux', 'Pytorch', 'Tensorflow', 'Python', 'SQL', 'Docker', 'OpenCV']",https://www.wanted.co.kr///wd/141566
442,[전문연구요원] 머신러닝 엔지니어,에이엠스퀘어,"파이썬 개발자, 머신러닝 엔지니어",,,경기 판교 지사,,"['Git', 'Slack', 'Linux', 'Pytorch', 'Tensorflow', 'Python', 'SQL', 'Docker', 'OpenCV']",https://www.wanted.co.kr///wd/140363
443,AI 연구원,자이언트스텝,"파이썬 개발자, 머신러닝 엔지니어",,,서울 서울 강남구 학동로37길 8 (논현동),,"['DirectX', 'OpenGL', 'Unreal Engine', 'C++', 'Unity3D']",https://www.wanted.co.kr///wd/156860
444,파이썬 개발자,그릿스탠다드,파이썬 개발자,2023-06-30,,"서울 성동구 광나루로 144, 더스페이스타워 1210호",,['Python'],https://www.wanted.co.kr///wd/160720
445,퀀트 개발자 Quant Developer,디렉셔널,"파이썬 개발자, 데이터 엔지니어, 빅데이터 엔지니어",,,"서울 서울특별시 영등포구 의사당대로 83, 서울핀테크랩 (오투타워 4,5,7,8층)",,"['Git', 'JIRA', 'Slack', 'MySQL', 'React', 'Redis', 'JavaScript', 'Kotlin', 'Python', 'TypeScript', 'AWS', 'Docker', 'Spring Framework', 'NumPy', 'Flutter', 'Notion']",https://www.wanted.co.kr///wd/156644
446,DevOps/Python 개발자 (재택근무),티에스엔랩,"파이썬 개발자, DevOps / 시스템 관리자",,,경기 경기도 용인시,,"['인공 지능', '컴파일러']",https://www.wanted.co.kr///wd/157719
447,인공지능 리서쳐 (AI Researcher),메이아이,"파이썬 개발자, 머신러닝 엔지니어, 데이터 엔지니어",,,서울 테헤란로 82길 15,,"['Github', 'Amazon Web Service', 'Python', 'AWS', 'PostgreSQL', 'Next.js']",https://www.wanted.co.kr///wd/110601
448,[ESTsecurity] 정보보호 백엔드 개발자,이스트소프트(ESTsoft),파이썬 개발자,,,서울 서울특별시 서초구 반포대로 3 이스트빌딩(서초동 1464-30),,"['MongoDB', 'Java', 'Kotlin', 'Python', 'Spring Framework']",https://www.wanted.co.kr///wd/154643
449,[1500억↑투자] Junior Data Engineer,트릿지,"파이썬 개발자, 머신러닝 엔지니어, 데이터 엔지니어",2023-06-06,,서울 서울특별시 서초구 방배로 226,,"['Python', 'SQL', 'Google Analytics']",https://www.wanted.co.kr///wd/130229
450,파이썬(python) 백엔드 개발자(전문연구요원),아토머스(마인드카페),파이썬 개발자,,,서울 강남구 영동대로96길 20 대화빌딩 4층,,[],https://www.wanted.co.kr///wd/134574
451,AI/ML 연구원,아로아랩스,"파이썬 개발자, 머신러닝 엔지니어",,,"서울 서울특별시 마포구 신촌로6길 23, 3층",,"['Python', 'R']",https://www.wanted.co.kr///wd/158839
452,AI팀 (금융ML/DL 모델 개발자),에프앤가이드,"파이썬 개발자, 머신러닝 엔지니어",2023-05-31,,서울 서울특별시 강서구 마곡중앙2로 61,,['SQL'],https://www.wanted.co.kr///wd/151477
453,인공지능 기술개발 및 연구,에듀템,"파이썬 개발자, 머신러닝 엔지니어, 데이터 엔지니어",,,서울 서울 마포구 월드컵북로 396 누리꿈스퀘어 연구개발타워 1104호,,"['Git', 'Linux', 'MySQL', 'Python', 'AWS', 'Docker', 'Spring Framework', 'React.js']",https://www.wanted.co.kr///wd/105444
454,백엔드 신입 개발자 (Python),버블콘,파이썬 개발자,2023-05-31,,"서울 구로구 디지털로34길 43, 1001호",,"['Java', '유지보수', 'Docker', 'Spring Boot']",https://www.wanted.co.kr///wd/151101
455,의료기기 영상처리 개발(용인근무),에스지헬스케어,"파이썬 개발자, 영상,음성 엔지니어, 그래픽스 엔지니어",2023-05-31,,"경기 용인시 기흥구중부대로 184, 힉스유타워",,"['MATLAB', '.NET', 'C#', 'Python', 'C', 'C++', 'WPF', 'MFC']",https://www.wanted.co.kr///wd/160597
456,보안 SW 개발자 신입,쿤텍,"파이썬 개발자, 보안 엔지니어",,,"서울 경기도 성남시 수정구 창업로 54, LH기업성장센터 나동 232호",,['Linux'],https://www.wanted.co.kr///wd/142990
457,Digitalization Specialist(신입),에드워드코리아,"파이썬 개발자, DevOps / 시스템 관리자, ERP전문가",,,충남 충남 천안시 서북구 3공단6로 80,,"['ASP .NET', 'C#', 'HTML', 'JavaScript', 'Python', 'SQL', 'AWS', 'C++', 'Spring Framework']",https://www.wanted.co.kr///wd/134800
458,[병역특례_현역/보충역] 백엔드 개발자(Node.js),넛지헬스케어(캐시워크),Node.js 개발자,,,서울 서울특별시 강남구 역삼로 136,,"['Git', 'Github', 'Android', 'Google Cloud Platform', 'iOS', 'MySQL', 'React', 'C / C++', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'Python', 'Google Analytics', 'AWS', 'SQL 서버', 'NodeJS', 'Spring Framework', 'GCP', 'Google Apps', 'Android Studio']",https://www.wanted.co.kr///wd/85836
459,"[병역특례 보충역, 현역] Node.js Back-End 개발자",팬마음,Node.js 개발자,,,"서울 강남구 역삼로3길 17-6, 10층",,[],https://www.wanted.co.kr///wd/139895
460,Nest.js 서버 개발자,디엔소프트,Node.js 개발자,,,서울 서울시 금천구 벚꽃로 286 삼성리더스타워 1401호,,"['Azure', 'MongoDB', 'MySQL', 'Redis', 'Node.js', 'Nest.js']",https://www.wanted.co.kr///wd/134363
461,유니티 클라이언트 프로그래머 (주니어),닫닫닫,"iOS 개발자, .NET 개발자, 그래픽스 엔지니어",,,"서울 서울시 강남구 남부순환로 2621, 플래그원 13층 (S&I강남빌딩, 도곡동)",,['Unity3D'],https://www.wanted.co.kr///wd/139040
462,"[Vrew, vFlat] iOS 개발자",보이저엑스(VoyagerX),iOS 개발자,,,서울 서초구 서초대로38길 12 마제스타시티 타워1 10층 (주)보이저엑스,,[],https://www.wanted.co.kr///wd/82178
463,[병역특례_현역/보충역] iOS 앱 개발자,넛지헬스케어(캐시워크),iOS 개발자,,,서울 서울특별시 강남구 역삼로1길 8,,"['Git', 'Github', 'Android', 'Google Cloud Platform', 'iOS', 'MySQL', 'React', 'C / C++', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'Python', 'Google Analytics', 'AWS', 'SQL 서버', 'NodeJS', 'Spring Framework', 'GCP', 'Google Apps', 'Android Studio']",https://www.wanted.co.kr///wd/130049
464,iOS 개발자,미디어토마토,iOS 개발자,2023-06-15,,서울 서울특별시 마포구 양화진4길 32,,"['AJAX', 'MySQL', 'Oracle', 'ASP', 'ASP .NET', 'C#', 'Java', 'JavaScript', 'jQuery', 'IIS', 'MSSQL']",https://www.wanted.co.kr///wd/98522
465,IOS 개발자,리보,iOS 개발자,,,인천 인천광역시 연수구 컨벤시아대로 204 인천스타트업파크 1-502 (송도동),,"['iOS', 'Swift']",https://www.wanted.co.kr///wd/146128
466,AI/Audio 엔지니어 신규,딥히어링,머신러닝 엔지니어,,,"대전 대전광역시 유성구 대학로 99, 대전팁스타운 503호",,"['Git', 'Github', 'Android', 'C / C++', 'JavaScript']",https://www.wanted.co.kr///wd/157734
467,AI Researcher & Developer,타이드풀(TIDEPOOL),"머신러닝 엔지니어, 빅데이터 엔지니어",,,"대전 유성구 대학로155번길 10 Office D (궁동, 신한 스퀘어브릿지 대전 S2)",,"['Git', 'Django', 'Pytorch', 'HTML', 'JavaScript', 'Python', 'AWS', 'Docker', 'PostgreSQL', 'Kubernetes']",https://www.wanted.co.kr///wd/156932
468,AI Engineer / AI Scientist (Junior),디메타,"머신러닝 엔지니어, 데이터 사이언티스트, 빅데이터 엔지니어",,,"서울 서울특별시 강남구 역삼동 605-22, 4층",,"['Git', 'Pytorch', 'Tensorflow', 'Python']",https://www.wanted.co.kr///wd/139525
469,AI 개발자,한국해양기상기술,머신러닝 엔지니어,2023-08-31,,서울 서울특별시 구로구 경인로 53길 90 STX-W Tower 1501호~1504호,,"['Github', 'Linux', 'Docker', 'PostgreSQL', 'Spring Framework', 'Gradle', 'Spring Boot']",https://www.wanted.co.kr///wd/133280
470,[AI/LAB] RECOMMENDATION SYSTEM 리서치 엔지니어(전문연가능),버즈니(Buzzni),머신러닝 엔지니어,,,"서울 Level 10-14th OSeon Building, 1832, Nambusunhwan-ro, Gwanak-gu, Seoul, Republic of Korea",,"['Python', 'AWS']",https://www.wanted.co.kr///wd/152935
471,[전문연구요원] 머신러닝 엔지니어 (강화학습),마키나락스,"머신러닝 엔지니어, 데이터 사이언티스트",,,"서울 서울특별시 서초구 강남대로 343 , 12층",,"['JavaScript', 'Python', 'QA 엔지니어링']",https://www.wanted.co.kr///wd/117756
472,머신러닝 엔지니어 (강화학습),마키나락스,머신러닝 엔지니어,,,"서울 서울특별시 서초구 강남대로 343 , 12층",,"['JavaScript', 'Python', 'QA 엔지니어링']",https://www.wanted.co.kr///wd/96265
473,ML/DL 엔지니어 및 연구원,틸다,"머신러닝 엔지니어, 데이터 엔지니어, 데이터 사이언티스트",,,서울 강남대로 156길 16,,"['Github', 'Linux', 'Pytorch', 'Tensorflow', 'Python', 'Docker']",https://www.wanted.co.kr///wd/154861
474,인공지능 연구개발 (AI Research),카이어,머신러닝 엔지니어,,,서울 서초구 매헌로8길 39,,"['Github', 'Pytorch', 'React', 'Tensorflow', 'C / C++', 'Python', 'Docker', 'Golang']",https://www.wanted.co.kr///wd/73517
475,ML Engineer,딥메트릭스,머신러닝 엔지니어,,,"서울 서울시 관악구 관악로 1, 138동 508호",,"['Git', 'Linux', 'Pytorch', 'Python', 'SQL', 'AWS']",https://www.wanted.co.kr///wd/146582
476,AI Engineer,파스토,머신러닝 엔지니어,,,"서울 서울특별시 강남구 테헤란로 79길 6 JS타워 1, 9층 Fassto",,"['인프라', '네트워크 운영', '네트워크 설계', '네트워크 관리', '네트워크 개발']",https://www.wanted.co.kr///wd/96351
477,머신러닝/딥러닝 엔지니어,딥브레인에이아이,"머신러닝 엔지니어, 영상,음성 엔지니어",,,서울 서울특별시 강남구 역삼로 7길 6,,[],https://www.wanted.co.kr///wd/19529
478,[100억↑투자] 머신러닝(ML) 소프트웨어 엔지니어,피플펀드컴퍼니(PeopleFundCompany),머신러닝 엔지니어,,,서울 서울시 서초구 서초대로74길 14 (더에셋) 16층,,"['Hadoop', 'iOS', 'MySQL', 'Spark', 'Java', 'Kotlin', 'Python', 'SQL', 'Tableau', 'AWS', 'EMR', 'ETL', 'Spring Framework']",https://www.wanted.co.kr///wd/155823
479,인공지능 연구원 (전문연구요원 병역 특례 가능),네오사피엔스(타입캐스트),머신러닝 엔지니어,,,서울 서울시 강남구 삼성동169 대화빌딩5층,,[],https://www.wanted.co.kr///wd/20066
480,NLP 연구원,노리스페이스,"머신러닝 엔지니어, 데이터 엔지니어",2023-06-30,,서울 서울특별시 광진구 능동로 87 자이엘라 3층,,"['CSS', 'HTML', 'JavaScript', 'TypeScript', 'React.js', 'React Native', 'Next.js', 'Vue.JS']",https://www.wanted.co.kr///wd/160697
481,시선추적 딥러닝 Engineer 및 Researcher,비주얼캠프,"머신러닝 엔지니어, 데이터 엔지니어, 데이터 사이언티스트",,,서울 서초구 매헌로16길 32 희경빌딩 F동 401호,,"['Pytorch', 'Tensorflow', 'JavaScript', 'Python', 'TypeScript', 'AWS', 'C++', 'NodeJS', 'Kubernetes', 'Redux']",https://www.wanted.co.kr///wd/69472
482,딥러닝 엔지니어 (전문연구요원 신규/전직 가능),룩코,머신러닝 엔지니어,,,"서울 서울 강남구 테헤란로 43길 18, SC빌딩 6층",,"['Github', 'JIRA', 'Slack', 'Google Cloud Platform', 'MongoDB', 'MySQL', 'Pytorch', 'Redis', 'Python', 'AWS', 'Go', 'PostgreSQL', 'ElasticSearch', 'RabbitMQ', 'Golang', 'Notion']",https://www.wanted.co.kr///wd/104274
483,[100억↑투자] [전문연구요원] AI Engineer,누비랩,"머신러닝 엔지니어, 데이터 엔지니어, 영상,음성 엔지니어",,,서울 서울특별시 강남구 테헤란로 625 덕명빌딩 6층,,"['Github', 'MySQL', 'Python', 'AWS', 'C++', 'OpenCV', 'NumPy', 'FastAPI']",https://www.wanted.co.kr///wd/141487
484,AI Research Engineer,모아이스,머신러닝 엔지니어,,,서울 서울특별시 서초구 사당동 137-11,,"['Pytorch', 'Tensorflow', 'Python']",https://www.wanted.co.kr///wd/161517
485,인공지능 개발자(신입),태그하이브(TagHive),"머신러닝 엔지니어, 데이터 사이언티스트, 빅데이터 엔지니어",2023-05-31,,서울 서울특별시 송파구 문정동 642. 송파테라타워2  B동 604호입니다.,,[],https://www.wanted.co.kr///wd/60461
486,[딥러닝/머신러닝] 개발자,스카이랩스(SkyLabs),"머신러닝 엔지니어, 데이터 엔지니어, 데이터 사이언티스트",,,"경기 성남시 분당구 판교로 255번길 58, 씨즈타워 703호",,"['Git', 'Android', 'iOS', 'MySQL', 'React', 'Tensorflow', 'JavaScript', 'Python', 'Swift', '딥 러닝', 'AWS', 'Docker', 'JPA', 'Spring Boot', 'ML']",https://www.wanted.co.kr///wd/157560
487,데이터 분석 및 AI 연구 개발,프리딕션,"머신러닝 엔지니어, 데이터 엔지니어, 데이터 사이언티스트",,,서울 성동구 뚝섬로 17가길 48 성수에이원센터 307호,,"['Github', 'C / C++', 'Python', 'R', 'NLP', 'AWS', 'Docker', 'EC2']",https://www.wanted.co.kr///wd/157813
488,3D AI Researcher,앙트러리얼리티,"머신러닝 엔지니어, 그래픽스 엔지니어",2023-05-31,,서울 서울특별시 강남구 언주로 534(BJ빌딩) 5층,,"['Git', 'Github', 'C / C++', 'Python', 'TypeScript', 'AWS', '3D']",https://www.wanted.co.kr///wd/152103
489,AI 컴파일러 개발자 (재택근무),티에스엔랩,머신러닝 엔지니어,,,경기 경기도 용인시,,"['인공 지능', '컴파일러']",https://www.wanted.co.kr///wd/161095
490,AI 개발자 (재택근무),티에스엔랩,머신러닝 엔지니어,,,경기 경기도 용인시,,"['인공 지능', '컴파일러']",https://www.wanted.co.kr///wd/161090
491,머신러닝 엔지니어,크라우드웍스,머신러닝 엔지니어,,,"서울 서울특별시 강남구 역삼동 테헤란로 309 (삼성제일빌딩, 5층)",,[],https://www.wanted.co.kr///wd/106955
492,Machine Learning Engineer (전문연구요원 가능),디어젠,머신러닝 엔지니어,,,"서울 서울특별시 서초구 마방로 60, 동원F&B 15층, 디어젠주식회사",,['Python'],https://www.wanted.co.kr///wd/154457
493,데이터 사이언티스트,펄송,"머신러닝 엔지니어, 데이터 엔지니어",,,서울 서초동 1566-3,,[],https://www.wanted.co.kr///wd/137798
494,CBM/PHM 연구원,아임토리,"머신러닝 엔지니어, 데이터 사이언티스트",2023-05-31,,서울 서울특별시 강남구 역삼로 160,,[],https://www.wanted.co.kr///wd/145239
495,ML Engineer/Researcher,에너자이(ENERZAi),머신러닝 엔지니어,,,"서울 (06159) 서울특별시 강남구 테헤란로 431 6층 6006호(삼성동, 저스트코타워)",,"['Git', 'Github', 'Pytorch', 'Tensorflow', 'Python', '개발', 'C++', '최적화', 'Docker', '카메라', '컴파일러', 'CUDA', 'OpenCL', 'OpenMP', '라이브러리 관리']",https://www.wanted.co.kr///wd/110126
496,인공지능(A.I.) 개발자,누아,머신러닝 엔지니어,,,"서울 서울특별시 종로구 청계천로 85, 10층",,"['MXNET', 'Pytorch', 'Tensorflow']",https://www.wanted.co.kr///wd/123039
497,빅데이터 개발자,베스텔라랩,"머신러닝 엔지니어, 데이터 사이언티스트, 빅데이터 엔지니어",2023-05-31,,경기 안양시 동안구 엘에스로116번길 118 안양2차 SKV1 Center,,"['Git', 'Github', 'Android', 'iOS', 'Linux', 'React', 'Kotlin', 'PHP', 'Python', 'Swift', 'AWS', 'Spring Framework']",https://www.wanted.co.kr///wd/81735
498,[병역특례 전문연구요원] AI 엔지니어,테스트웍스,머신러닝 엔지니어,,,서울 송파구 백제고분로41길 41-29 더블유 123빌딩 3층,,[],https://www.wanted.co.kr///wd/143326
499,[병역특례 전문연구요원] Robot Vision 엔지니어,테스트웍스,머신러닝 엔지니어,,,서울 송파구 백제고분로41길 41-29 더블유 123빌딩 3층,,[],https://www.wanted.co.kr///wd/143325
500,머신러닝 개발자,아이트럭,"머신러닝 엔지니어, 데이터 사이언티스트, 빅데이터 엔지니어",2023-06-30,,"서울 서울특별시 서초구 동작대로 230, 10층(방배동,화련회관)",,[],https://www.wanted.co.kr///wd/152816
501,신약개발 인공지능 연구원(석사),보로노이,"머신러닝 엔지니어, 데이터 엔지니어, 데이터 사이언티스트",,,인천 연수구 송도과학로 32 IT센터,,['Python'],https://www.wanted.co.kr///wd/161964
502,인공지능 신약개발 연구원 (박사급),보로노이,"머신러닝 엔지니어, 데이터 사이언티스트",,,인천 연수구 송도과학로 32 IT센터,,['Python'],https://www.wanted.co.kr///wd/156136
503,Data Scientist (데이터 사이언티스트)(병역특례 가능),에이비일팔공(AB180),"머신러닝 엔지니어, 데이터 엔지니어, 데이터 사이언티스트",,,서울 서울특별시 서초구 강남대로61길 17,,"['Kotlin', 'Python', 'AWS', 'Go', 'Docker', 'Spring Framework', 'Kubernetes']",https://www.wanted.co.kr///wd/158080
504,데이터(신호처리) 엔지니어,인포마이닝,"머신러닝 엔지니어, 데이터 사이언티스트, 빅데이터 엔지니어",,,서울 서울 강남구 강남대로112길 32,,"['Flask', 'MySQL', 'Python', 'AWS']",https://www.wanted.co.kr///wd/110096
505,딥러닝 엔지니어,펀진,"머신러닝 엔지니어, 데이터 엔지니어, 데이터 사이언티스트",,,서울 서울시 성동구 연무장5가길 7 현대테라스타워 East동 13층,,"['Git', 'Java', 'Python', 'Jenkins', 'Spring Framework', 'JPA', 'Kubernetes']",https://www.wanted.co.kr///wd/161787
506,"ml/ai 엔지니어 (석사이상, 병역특례)",크레스프리,머신러닝 엔지니어,,,경기 경기도 성남시 분당구 성남대로331번길 8 킨스타워 1104호,,"['Java', 'SQL', 'Spring Boot']",https://www.wanted.co.kr///wd/145576
507,AI 연구원 스토리 보조작가 프롬프트 엔지니어링,스튜디오사월,"머신러닝 엔지니어, 데이터 엔지니어, 빅데이터 엔지니어",,,"서울 서울시 종로구 종로6, 스타트업빌리지 5층",,"['Git', 'Firebase', 'Python', 'SQL', 'AWS', 'REST', 'Restful API']",https://www.wanted.co.kr///wd/143684
508,머신러닝 연구원/엔지니어 (음성),에이아이파크,"머신러닝 엔지니어, 데이터 엔지니어",,,서울 서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 연구개발타워 603호,,"['Github', 'Android', 'Pytorch', 'React', 'VueJS', 'CSS', 'Java', 'JavaScript', 'Kotlin', 'Python', '딥 러닝', 'REST', 'HTTP', 'OpenCV']",https://www.wanted.co.kr///wd/130767
509,리눅스 엔지니어,오픈소스컨설팅,"DevOps / 시스템 관리자, 시스템,네트워크 관리자",,,서울 서울시 강남구 테헤란로83길 32(삼성동),,[],https://www.wanted.co.kr///wd/23535
510,[300억↑투자] [신입] DevOps Engineer,아데나소프트웨어,DevOps / 시스템 관리자,,,서울 서울특별시 강남구 테헤란로 207 아가방빌딩 14층,,"['Git', 'GitLab', 'Linux', 'MySQL', 'Python', 'AWS', 'Docker']",https://www.wanted.co.kr///wd/149940
511,시스템엔지니어,유핀테크허브(유트랜스퍼),"DevOps / 시스템 관리자, 시스템,네트워크 관리자",,,서울 서울특별시 강남구 테헤란로 207 아가방빌딩,,[],https://www.wanted.co.kr///wd/159196
512,[Second Wave]DevOps,챌린저스게임즈,DevOps / 시스템 관리자,,,"서울 삼성동 140-31, 3층",,"['Git', '.NET', 'React', 'ASP', 'C#', 'HTML', 'Java', 'JavaScript', 'AWS', 'jQuery', 'HTML5', 'NoSQL', 'Docker', 'DART for Publishers', 'Flutter']",https://www.wanted.co.kr///wd/145806
513,온라인/모바일 게임서비스 시스템 엔지니어,이스트게임즈,"DevOps / 시스템 관리자, 시스템,네트워크 관리자, 보안 엔지니어",,,서울 서울 서초구 반포대로3 이스트빌딩 5층(서초동 1464-30),,"['Linux', 'C#', 'PHP', 'Python', 'Windows 서버', 'Bash', 'IPS']",https://www.wanted.co.kr///wd/72147
514,시스템 엔지니어 (SE),자이닉스,"DevOps / 시스템 관리자, 시스템,네트워크 관리자, 기술지원",,,"서울 서울특별시 구로구 디지털로31길 53, 11층 (구로동)",,"['Git', 'JIRA', '.NET', 'ASP .NET', 'PHP', 'Windows 서버', 'IIS', 'WPF']",https://www.wanted.co.kr///wd/110359
515,매니지드 서비스 엔지니어 (신입가능),자이닉스,"DevOps / 시스템 관리자, 시스템,네트워크 관리자, 기술지원",,,"서울 서울특별시 구로구 디지털로31길 53, 11층 (구로동)",,"['Git', 'JIRA', '.NET', 'ASP .NET', 'PHP', 'Windows 서버', 'IIS', 'WPF']",https://www.wanted.co.kr///wd/73255
516,DevOps Engineer - 신입,뉴링크,"DevOps / 시스템 관리자, 시스템,네트워크 관리자",,,서울 학동로31길 12 벤쳐캐슬 5층,,"['Android', 'Java', 'Kotlin', 'MVC', 'MVVM', 'Gradle']",https://www.wanted.co.kr///wd/88317
517,AWS SA. 데이터엔지니어,비에스지파트너스,"DevOps / 시스템 관리자, 데이터 엔지니어, 시스템,네트워크 관리자",,,"서울 서울시 강남구 논현로85길 21, BSG빌딩",,"['SAP', 'SAP ERP', 'SAP 구현', 'SAP SD', 'SAP MM', 'SAP FICO', 'SAP FI', 'SAP HR']",https://www.wanted.co.kr///wd/93307
518,스마트팩토리 AI 솔루션 셋업 엔지니어링 및 개발,아하랩스,"DevOps / 시스템 관리자, 시스템,네트워크 관리자, 기술지원",,,경기 경기도 성남시 분당구 성남대로 43번길 10 (하나EZ타워) 712호,,"['Git', 'Python']",https://www.wanted.co.kr///wd/104029
519,노드 시스템 엔지니어,디앤에스에버(DNS Ever),DevOps / 시스템 관리자,,,"서울 서울시 강남구 강남대로 372, 9층",,"['Git', 'AngularJS', 'React', 'JavaScript', 'Node.js', 'Python', 'AWS', 'Docker']",https://www.wanted.co.kr///wd/145028
520,기술연구소 Cloud 운영 개발자,지니언스,DevOps / 시스템 관리자,,,경기 경기도 안양시 동안구 벌말로 66 평촌역 하이필드 A동 12층,,"['Git', 'Github', 'Android', 'Azure', 'iOS', 'Linux', 'MySQL', 'React', 'C / C++', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'ObjectiveC', 'PHP', 'Python', 'SQL', 'Swift', 'AWS', 'C++', 'REST', 'ISO', 'Docker', 'Shell Scripting', 'Spring Framework', 'JPA', 'Flutter', 'Kubernetes']",https://www.wanted.co.kr///wd/153949
521,[Tech] Data Engineer,루센트블록,데이터 엔지니어,,,대전 유성구 엑스포로1. 엑스포타워 11층,,"['JavaScript', 'Python', 'SQL']",https://www.wanted.co.kr///wd/132445
522,데이터 엔지니어 (병역특례 가능),버즈빌(buzzvil),데이터 엔지니어,,,서울 서울특별시 송파구 석촌호수로 272 MY빌딩 2~5층,,"['AWS', 'Kubernetes']",https://www.wanted.co.kr///wd/153386
523,[병역특례 전문연구요원]데이터 애널리스트(Data Analyst),코넥시오에이치,"데이터 엔지니어, 데이터 사이언티스트, 빅데이터 엔지니어",,,"서울 서울특별시 강남구 강남대로 388, 강남센타빌딩 15층",,[],https://www.wanted.co.kr///wd/159752
524,[100억↑투자] Dental Lab Technician (치기공 신입),이마고웍스,데이터 엔지니어,,,서울 서울시 강남구 강남대로 636,,[],https://www.wanted.co.kr///wd/134083
525,데이터 및 제품 분석,서울거래,"데이터 엔지니어, 데이터 사이언티스트, 빅데이터 엔지니어",2024-07-01,,서울 서울시 영등포구 의사당대로 83 위워크 여의도점,,"['Android', 'iOS', 'HTML', 'Python', 'AWS', 'Android Studio', 'Flutter']",https://www.wanted.co.kr///wd/161888
